ZNF292	ENST00000369577
ERP44	ENST00000262455
KLHDC9	ENST00000368011
COL8A2	ENST00000397799
CRISPLD2	ENST00000262424
DND1	ENST00000542735
NUCB2	ENST00000529010
TMEM179B	ENST00000333449
SPOUT1	ENST00000361256
DTL	ENST00000366991
SPACA7	ENST00000283550
SPCS1	ENST00000619898
TPST1	ENST00000304842
GIMAP2	ENST00000223293
MAP3K10	ENST00000253055
SRRM1	ENST00000323848
FANCC	ENST00000289081
SERINC4	ENST00000319327
KRTAP22-2	ENST00000382830
LIPH	ENST00000296252
KRTAP19-3	ENST00000334063
CELSR3	ENST00000164024
RPL19	ENST00000225430
EXTL2	ENST00000370114
PIGM	ENST00000368090
LCAT	ENST00000264005
KCNJ10	ENST00000368089
